geneID,Puncta in P1 (2-cell),Puncta in P2 (4-cell),Puncta in P3 (8-cell),Puncta in P4 (28-cell),Pattern consistent with enrichment in Z2/Z3 (100-cell),Group,Additional comments on RNA localization,Group I RNAi results,"avg_mRNA_fpm from Lee et al., 2020","avg_Rb_fpm from Lee et al., 2020",TE (ave_Rb_fpm / avg_mRNA_fpm),WBgene,Embryonic lethality in N2 or rrf-3 (data from Wormbase)
inx-14,-,-,+,+,+,Group I,Enrichment in ~100-cell is weak,sterility in both N2 and grif-1(ax4524),24.86601982,6.761822044,0.271930212,WBGene00002136,Embryonic lethal
osta-3,-,-,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),18.3792452,6.804076289,0.370204337,WBGene00012182,
panl-3,-,-,+,+,+,Group I,Enrichment in ~100-cell is weak,,220.0402014,243.5996964,1.107069049,WBGene00014015,
rle-1,-,-,+,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),75.49219116,56.15311452,0.743826794,WBGene00010923,Embryonic lethal
rmd-1,-,-,+,+,+,Group I,RNA localizes to puncta in somatic cells,"embryonic lethality, could not count sterility in either N2 or grif-1(ax4524)",113.7788591,50.61680057,0.444869996,WBGene00011501,Embryonic lethal
scav-2,-,-,+,-,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),22.05143253,4.061704249,0.184192308,WBGene00013578,
spat-1,-,-,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),100.6623839,99.40218578,0.987480943,WBGene00010198,
sur-6,-,-,+,+,+,Group I,Enrichment in ~100-cell is weak,"embryonic lethality, could not count sterility in either N2 or grif-1(ax4524)",292.539606,381.6025485,1.304447469,WBGene00006352,Embryonic lethal
T26A8.1,-,-,+,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),48.73102171,11.57900329,0.237610518,WBGene00020824,
zipt-15,-,-,+,-,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),34.97063528,15.47994457,0.442655515,WBGene00021936,
atp-2,-,-,-,+,+,Group I,,"P0 lethality, could not count sterility in either N2 or grif-1(ax4524)",1058.906429,749.7501585,0.708041936,WBGene00000229,Embryonic lethal
B0393.3,-,-,-,+,+,Group I,Enrichment in ~100-cell is weak,not significantly sterile in N2 or grif-1(ax4524),384.7093274,430.3132326,1.1185412,WBGene00007168,
clec-87,-,-,-,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),628.8146945,700.2991288,1.11368124,WBGene00007709,
eef-1G,-,-,-,+,+,Group I,Enrichment in ~100-cell is weak,"P0 lethality, could not count sterility in either N2 or grif-1(ax4524)",868.2863334,205.7358538,0.23694471,WBGene00008920,Embryonic lethal
ZK829.9,-,-,-,+,+,Group I,,not significantly sterile in N2 or grif-1(ax4524),56.58685143,1.812882916,0.032037176,WBGene00014097,
acs-4,+,+,+,+,-,Group II,,,119.2478022,92.87544838,0.77884411,WBGene00018152,Embryonic lethal
alfa-1,+,+,+,+,-,Group II,,,68.21549339,44.24207534,0.648563444,WBGene00017547,
algn-9,+,+,+,+,-,Group II,,,31.85092799,16.06640203,0.504424927,WBGene00007556,
arx-2,+,+,+,+,-,Group II,,,102.3036599,98.33118778,0.961169795,WBGene00000200,Embryonic lethal
atf-7,+,+,+,+,-,Group II,,,261.6750431,157.2807359,0.601053635,WBGene00000223,
atg-18,+,+,+,+,-,Group II,,,206.7189418,323.6401201,1.565604571,WBGene00018294,
atx-2,+,+,+,+,-,Group II,,,458.5085009,792.388575,1.728187315,WBGene00000231,Embryonic lethal
bet-2,+,+,-,-,-,Group II,,,727.9144048,773.1508838,1.062145327,WBGene00010199,
C03A3.2,+,+,-,-,-,Group II,,,6.810438522,3.290882564,0.483211551,WBGene00007267,
C04B4.2,+,+,+,+,-,Group II,,,28.39673388,1.349495112,0.047522899,WBGene00007290,
C05C10.5,+,+,+,+,-,Group II,,,187.8617516,306.6179899,1.632146977,WBGene00007332,Embryonic lethal
C13F10.7,+,+,+,-,-,Group II,,,130.5157119,132.1920683,1.012844097,WBGene00015746,Embryonic lethal
C14B1.9,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,25.40528923,1.188459073,0.046779986,WBGene00007580,Embryonic lethal
C23G10.7,+,+,+,+,-,Group II,,,39.89479099,26.93033515,0.67503387,WBGene00016014,
C27D9.1,+,+,+,+,-,Group II,,,8.291904115,1.753085571,0.211421351,WBGene00016163,Embryonic lethal
C47D12.2,+,+,+,+,-,Group II,,,121.4866368,84.00011091,0.691434985,WBGene00008136,
cam-1,+,+,+,-,-,Group II,,,330.574312,264.635211,0.800531685,WBGene00000289,
catp-6,+,+,+,+,-,Group II,,,36.41790495,2.524331863,0.06931568,WBGene00012341,
cct-6,+,+,+,+,-,Group II,,,171.6498972,167.529995,0.975998225,WBGene00000381,Embryonic lethal
cct-8,+,+,+,-,-,Group II,,,172.8101781,237.2076749,1.37264875,WBGene00021934,Embryonic lethal
cdc-14,+,+,+,+,-,Group II,,,366.1321302,314.4995359,0.858978248,WBGene00000383,Embryonic lethal
ced-3,+,+,+,+,-,Group II,,,72.37456547,53.00785419,0.732409982,WBGene00000417,
cey-2,+,+,+,-,-,Group II,,,236.6623209,47.32113192,0.199952116,WBGene00000473,
chc-1,+,+,+,+,-,Group II,RNA localizes to puncta in somatic cells,,524.655949,715.146302,1.363076705,WBGene00011867,Embryonic lethal
clr-1,+,+,+,+,-,Group II,,,109.9682023,20.01943983,0.182047532,WBGene00000548,
copb-1,+,+,+,+,-,Group II,,,223.1837908,250.4918086,1.122356636,WBGene00021292,Embryonic lethal
copd-1,+,+,+,+,-,Group II,,,165.2032679,187.6286706,1.135744304,WBGene00015734,
cpg-4,+,+,+,+,-,Group II,,,26.09605848,0.539505866,0.020673845,WBGene00015677,
cpt-1,+,+,+,-,-,Group II,,,261.0233412,96.9960488,0.371599139,WBGene00012907,
cra-1,+,+,+,+,-,Group II,,,64.17821161,41.76714536,0.650799458,WBGene00020068,Embryonic lethal
csr-1,+,+,-,+,-,Group II,,,31.3816861,23.55849092,0.750708258,WBGene00017641,Embryonic lethal
ctf-4,+,+,+,+,-,Group II,,,381.3497737,585.3748092,1.535007622,WBGene00008921,Embryonic lethal
ctns-1,+,+,+,+,-,Group II,,,14.88993433,0.634904515,0.042639847,WBGene00008052,
cyld-1,+,+,+,+,-,Group II,,,60.29737799,36.87540176,0.61155896,WBGene00009594,
cyn-7,+,+,+,+,-,Group II,,,449.0946357,355.3902775,0.791348302,WBGene00000883,Embryonic lethal
D1044.6,+,+,+,+,-,Group II,,,69.11697492,18.60082628,0.269120955,WBGene00017031,
D2023.6,+,+,+,+,-,Group II,,,16.65533017,2.120371763,0.1273089,WBGene00008410,
daf-18,+,+,+,+,-,Group II,,,491.5196549,374.5089192,0.761940882,WBGene00000913,
dnj-5,+,+,+,+,-,Group II,,,310.882202,134.7653861,0.433493411,WBGene00001023,
ech-1.2,+,-,+,-,-,Group II,RNA localizes to puncta in somatic cells,,312.1353159,243.4679148,0.780007588,WBGene00020347,
